scorer,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200
bodyparts,Nose,Nose,Nose,Head,Head,Head,MainBody,MainBody,MainBody,Butt,Butt,Butt,TailTip,TailTip,TailTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
31,548.58484,291.2644,0.9146537,550.2497,272.2645,0.74433714,553.69507,223.17966,0.60063756,547.8405,191.68082,0.6761084,472.67572,182.03845,0.9749275
32,545.86633,296.9686,0.9044195,548.5384,277.36026,0.7735574,553.2432,234.79333,0.5988372,547.8405,198.0086,0.76887816,472.67572,181.76096,0.9640601
33,544.11505,303.8304,0.88944864,545.5916,286.00674,0.72326386,552.85565,239.94359,0.665491,547.8405,204.43877,0.73903716,472.67572,181.47552,0.922298
34,543.1832,306.79782,0.8657866,542.6477,287.79807,0.741871,550.9712,240.11668,0.65662915,549.1783,206.70306,0.74496824,478.46613,174.17526,0.8424394
35,542.5365,308.98108,0.8845791,542.3837,289.6852,0.736066,549.76465,246.98972,0.6223602,549.6256,210.90517,0.7813388,480.372,172.48688,0.848794
36,542.47253,312.33984,0.8212776,540.9163,295.12408,0.7498274,549.58826,248.95181,0.588832,549.9768,213.05959,0.75199986,481.4207,171.62561,0.83944654
37,542.0168,317.55627,0.8113197,540.206,299.15533,0.7621445,547.4129,251.93304,0.6362912,549.6256,217.49477,0.7517274,483.89078,171.62561,0.8043561
38,539.7212,323.891,0.85632,540.20026,301.9724,0.7504382,547.0957,254.3449,0.6606371,549.6256,221.977,0.8028036,486.02545,171.62561,0.78182924
39,539.7212,327.34256,0.8483149,538.8588,308.11603,0.76690346,544.5338,262.70422,0.5651472,546.7369,227.5247,0.85406035,486.02545,172.34789,0.8139118
40,539.7212,333.36978,0.8151004,538.684,314.37418,0.74551785,542.1925,273.38156,0.5384193,544.2145,230.857,0.79476285,486.02545,172.63454,0.8309795
41,539.7212,338.69092,0.80470353,538.2985,320.36133,0.70333874,539.5798,280.48178,0.5143349,538.36804,234.75587,0.89380753,481.68518,179.32343,0.73934007
42,539.7212,342.24915,0.8181653,538.18414,322.44193,0.69998264,539.4096,286.09335,0.5490612,537.78094,237.83481,0.8440307,481.68518,181.92104,0.88281626
43,539.2949,346.79178,0.8299002,537.35425,327.93402,0.7480751,538.952,288.39072,0.52781016,537.78094,243.00192,0.72028893,481.68518,184.21513,0.83281374
44,539.2949,353.67294,0.86310124,537.35425,335.23315,0.6920819,538.806,295.78235,0.5914823,537.78094,246.5482,0.7340014,483.91623,186.90085,0.9214286
45,539.2949,355.76837,0.8705733,537.08295,337.83463,0.7276371,538.70465,297.7679,0.60650754,539.07794,252.15279,0.80155957,487.90088,187.05602,0.81558734
46,538.62476,358.52243,0.85204583,536.93164,339.54315,0.7064203,538.70465,299.37442,0.5689461,539.8197,255.49629,0.76412064,491.13583,187.37413,0.8724957
47,538.62476,362.55292,0.8102134,536.93164,344.668,0.73705757,538.70465,301.86807,0.55358356,540.20166,263.30725,0.7221585,491.4746,193.29832,0.8960538
48,538.62476,369.4792,0.86863047,535.8262,352.23526,0.69590044,538.5847,303.38235,0.6625458,541.3339,268.25592,0.68987846,497.91412,195.19472,0.8923333
49,537.9419,373.31555,0.9220759,535.33636,357.18677,0.7244268,538.5847,310.42548,0.6467534,541.9808,272.59665,0.6614312,505.34515,195.41782,0.85817266
50,537.63153,377.033,0.85598826,535.03375,359.42133,0.78550285,537.63934,311.77603,0.61288816,541.9808,276.17728,0.7263101,509.3694,195.61205,0.918044
51,536.99524,382.06607,0.9186431,533.5685,366.23148,0.735265,537.3925,315.64108,0.60482013,541.9808,280.72275,0.6760877,513.6243,197.90732,0.9082091
52,533.50323,389.02017,0.9183247,533.38947,370.42548,0.7392079,537.0887,317.41977,0.59392333,537.99817,283.4355,0.8107357,514.2962,201.0212,0.85500115
53,533.38336,393.90933,0.90752226,533.3174,375.1481,0.7854526,534.24316,329.50797,0.52781904,536.828,289.32733,0.7791437,514.2962,205.36087,0.9106743
54,533.2171,398.4835,0.8762969,531.7169,382.4964,0.78370035,533.33765,331.84927,0.6036856,533.9144,295.43835,0.8470202,514.2962,213.13068,0.8107698
55,530.05286,404.01172,0.8567863,530.74347,385.11896,0.757267,532.84576,334.91003,0.6110963,532.9478,300.3982,0.96189934,515.28406,220.86565,0.7582096
56,529.6107,408.99277,0.90273076,530.3321,390.01187,0.79764426,532.84576,342.92438,0.5549197,532.9478,308.3319,0.8730888,515.28406,224.39679,0.8252001
57,527.464,417.36166,0.8930746,528.6236,395.28436,0.73843014,532.03723,350.32632,0.57227194,532.9478,314.6328,0.7924192,515.28406,230.31937,0.89926195
58,524.63873,422.42178,0.8938232,525.4008,402.67993,0.73284185,531.7093,355.63943,0.6118235,534.6377,322.00696,0.57109886,522.20544,237.13617,0.89033484
